Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","400","Jordan","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","11602","E","Estimated value"
"TCL","Crops and livestock products","400","Jordan","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","591","E","Estimated value"
"TCL","Crops and livestock products","404","Kenya","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","1497","E","Estimated value"
"TCL","Crops and livestock products","404","Kenya","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","23","E","Estimated value"
"TCL","Crops and livestock products","404","Kenya","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","1429","E","Estimated value"
"TCL","Crops and livestock products","404","Kenya","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","15952","E","Estimated value"
"TCL","Crops and livestock products","458","Malaysia","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","5354","E","Estimated value"
"TCL","Crops and livestock products","458","Malaysia","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","56192","E","Estimated value"
"TCL","Crops and livestock products","458","Malaysia","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","4874","E","Estimated value"
"TCL","Crops and livestock products","458","Malaysia","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","1269","E","Estimated value"
"TCL","Crops and livestock products","104","Myanmar","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","505","E","Estimated value"
"TCL","Crops and livestock products","104","Myanmar","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","49","E","Estimated value"
"TCL","Crops and livestock products","104","Myanmar","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","79","E","Estimated value"
"TCL","Crops and livestock products","104","Myanmar","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","288","E","Estimated value"
"TCL","Crops and livestock products","524","Nepal","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","1971","E","Estimated value"
"TCL","Crops and livestock products","524","Nepal","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","0","E","Estimated value"
"TCL","Crops and livestock products","524","Nepal","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","1","E","Estimated value"
"TCL","Crops and livestock products","528","Netherlands","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","711373","E","Estimated value"
"TCL","Crops and livestock products","528","Netherlands","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","1763592","E","Estimated value"
"TCL","Crops and livestock products","528","Netherlands","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","1544092","E","Estimated value"
"TCL","Crops and livestock products","528","Netherlands","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","179216","E","Estimated value"
"TCL","Crops and livestock products","566","Nigeria","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","4","E","Estimated value"
"TCL","Crops and livestock products","566","Nigeria","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","0","E","Estimated value"
"TCL","Crops and livestock products","566","Nigeria","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","0","E","Estimated value"
"TCL","Crops and livestock products","566","Nigeria","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","4","E","Estimated value"
"TCL","Crops and livestock products","578","Norway","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","811","E","Estimated value"
"TCL","Crops and livestock products","578","Norway","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","1218","E","Estimated value"
"TCL","Crops and livestock products","578","Norway","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","6595","E","Estimated value"
"TCL","Crops and livestock products","578","Norway","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","936","E","Estimated value"
"TCL","Crops and livestock products","586","Pakistan","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","70307","E","Estimated value"
