Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","352","Iceland","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","1104","E","Estimated value"
"TCL","Crops and livestock products","352","Iceland","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","1904","E","Estimated value"
"TCL","Crops and livestock products","352","Iceland","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","1693","E","Estimated value"
"TCL","Crops and livestock products","352","Iceland","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","125","E","Estimated value"
"TCL","Crops and livestock products","356","India","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","257","E","Estimated value"
"TCL","Crops and livestock products","356","India","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","1203","E","Estimated value"
"TCL","Crops and livestock products","356","India","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","178","E","Estimated value"
"TCL","Crops and livestock products","360","Indonesia","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","303447","E","Estimated value"
"TCL","Crops and livestock products","360","Indonesia","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","380","E","Estimated value"
"TCL","Crops and livestock products","360","Indonesia","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","1255","E","Estimated value"
"TCL","Crops and livestock products","360","Indonesia","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","2802","E","Estimated value"
"TCL","Crops and livestock products","368","Iraq","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","88969","E","Estimated value"
"TCL","Crops and livestock products","368","Iraq","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","113925","E","Estimated value"
"TCL","Crops and livestock products","368","Iraq","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","6659","E","Estimated value"
"TCL","Crops and livestock products","368","Iraq","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","5806","E","Estimated value"
"TCL","Crops and livestock products","372","Ireland","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","36836","E","Estimated value"
"TCL","Crops and livestock products","372","Ireland","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","152207","E","Estimated value"
